id,name,buch,kapitel,geschlecht,zustand
CF,Christiane F,2,1,2,1
DGB,Detlev (Anders Gode) Benedix,2,1,1,1
DB,David Bowie,2,1,1,1
BB,Ben Becker,2,1,1,1
EM,Embryo 1 (Baby von Gode),2,1,3,2
OS,Otto Sander,2,1,1,1
MS,Monika Sander/Becker,2,1,2,1
MES,Meret Sander/Becker,2,1,2,1
AH,Alexander Hacke,2,1,1,1
FE,Fetisch,2,1,1,1
FES,Fetisch Schwester,2,1,2,1
PL,Plez,2,1,1,1
PA,Panagiotis ,2,1,1,1
VPG,Vater Panagiotis ,2,1,1,1
MPG,Mutter Panagiotis,2,1,2,1
CH,Christos (Panagiotis' Bruder),2,1,1,1
MA,Maria (Christos Freundin),2,1,2,1
EMB,Embryo 2 (Baby Panagiotis),2,1,3,2
IT,Inhaber der Taverne,2,1,1,1
FIT,Frau des Inhabers der T,2,1,1,1
IP,Iggy Pop,2,1,1,1
CS,Carlos Santana,2,1,1,1
RH,Romy Haag,2,1,2,1
DE,Detlef (anderer) ,2,1,1,1
GF,Godes Frau,2,1,2,1
CFM,Christianes Mutter,2,1,2,1
JKR,Jüngere Krankenschwester,2,1,2,1
KR,Ältere Krankenschwester,2,1,2,1
KPA,Kumpel von Panagiotis ,2,1,4,1
UF,Überfallene Frau,2,1,2,1
AW,Anwalt CF und PA,2,1,1,1
